ECG,Label
-0.4409637451171875,1
-0.438995361328125,1
-0.427093505859375,1
-0.4196319580078125,1
-0.4135894775390625,1
-0.4031982421875,1
-0.3938140869140625,1
-0.3862152099609375,1
-0.382781982421875,1
-0.382965087890625,1
-0.3779754638671875,1
-0.3695526123046875,1
-0.3604888916015625,1
-0.35723876953125,1
-0.3542633056640625,1
-0.3535308837890625,1
-0.3570098876953125,1
-0.3573760986328125,1
-0.3551788330078125,1
-0.345062255859375,1
-0.3335723876953125,1
-0.32720947265625,1
-0.328765869140625,1
-0.3340301513671875,1
-0.3370513916015625,1
-0.332611083984375,1
-0.3282623291015625,1
-0.32904052734375,1
-0.3300018310546875,1
-0.3257904052734375,1
-0.3256988525390625,1
-0.3248291015625,1
-0.3242340087890625,1
-0.3232269287109375,1
-0.3274383544921875,1
-0.3284454345703125,1
-0.3285369873046875,1
-0.3311004638671875,1
-0.3332977294921875,1
-0.3343505859375,1
-0.3312835693359375,1
-0.3257904052734375,1
-0.315032958984375,1
-0.3124237060546875,1
-0.31475830078125,1
-0.313568115234375,1
-0.3123321533203125,1
-0.315032958984375,1
-0.3156280517578125,1
-0.311004638671875,1
-0.3028106689453125,1
-0.295166015625,1
-0.2953033447265625,1
-0.2935638427734375,1
-0.2887115478515625,1
-0.28765869140625,1
-0.2851409912109375,1
-0.2773590087890625,1
-0.270721435546875,1
-0.26312255859375,1
-0.26220703125,1
-0.2610626220703125,1
-0.2452239990234375,1
-0.2337799072265625,1
-0.225128173828125,1
-0.2214202880859375,1
-0.2155609130859375,1
-0.2098846435546875,1
-0.1977996826171875,1
-0.1749114990234375,1
-0.1561431884765625,1
-0.1409912109375,1
-0.1224517822265625,1
-0.1058807373046875,1
-0.0920562744140625,1
-0.077911376953125,1
-0.06793212890625,1
-0.0471038818359375,1
-0.0293426513671875,1
-0.0193634033203125,1
-0.006500244140625,1
0.0078277587890625,1
0.0206451416015625,1
0.0379486083984375,1
0.057037353515625,1
0.0710906982421875,1
0.0784149169921875,1
0.08349609375,1
0.0961761474609375,1
0.1031341552734375,1
0.10675048828125,1
0.1065673828125,1
0.1111907958984375,1
0.1281280517578125,1
0.1366424560546875,1
0.1392059326171875,1
0.1403045654296875,1
0.1432342529296875,1
0.1474456787109375,1
0.1551361083984375,1
0.1615447998046875,1
0.1651153564453125,1
0.16607666015625,1
0.1648406982421875,1
0.1642913818359375,1
0.16644287109375,1
0.1687774658203125,1
0.17596435546875,1
0.182464599609375,1
0.1885986328125,1
0.1998138427734375,1
0.2064971923828125,1
0.207550048828125,1
0.2240753173828125,1
0.2437591552734375,1
0.2517242431640625,1
0.2595062255859375,1
0.2640838623046875,1
0.26531982421875,1
0.2677459716796875,1
0.2693939208984375,1
0.2682952880859375,1
0.2699432373046875,1
0.2722320556640625,1
0.27520751953125,1
0.2790985107421875,1
0.2833099365234375,1
0.2834930419921875,1
0.2847747802734375,1
0.2918243408203125,1
0.3006134033203125,1
0.3057403564453125,1
0.3107757568359375,1
0.3188323974609375,1
0.3269805908203125,1
0.3350372314453125,1
0.3393402099609375,1
0.3431854248046875,1
0.3475799560546875,1
0.3545379638671875,1
0.3603057861328125,1
0.3654327392578125,1
0.3674468994140625,1
0.365203857421875,1
0.3629608154296875,1
0.3595733642578125,1
0.352203369140625,1
0.3434600830078125,1
0.333709716796875,1
0.3275299072265625,1
0.31622314453125,1
0.3030853271484375,1
0.295806884765625,1
0.28509521484375,1
0.27117919921875,1
0.246551513671875,1
0.2208709716796875,1
0.1945953369140625,1
0.171478271484375,1
0.1482696533203125,1
0.11993408203125,1
0.09393310546875,1
0.061614990234375,1
0.0313568115234375,1
0.0088348388671875,1
-0.00274658203125,1
-0.011444091796875,1
-0.02728271484375,1
-0.0428924560546875,1
-0.0590972900390625,1
-0.0751190185546875,1
-0.0915985107421875,1
-0.0976409912109375,1
-0.10107421875,1
-0.1095428466796875,1
-0.1120147705078125,1
-0.1084442138671875,1
-0.1072998046875,1
-0.10601806640625,1
-0.1089935302734375,1
-0.1153106689453125,1
-0.1142120361328125,1
-0.1112823486328125,1
-0.1124725341796875,1
-0.1121978759765625,1
-0.10968017578125,1
-0.1037750244140625,1
-0.1012115478515625,1
-0.1018524169921875,1
-0.1015777587890625,1
-0.0938873291015625,1
-0.0846405029296875,1
-0.07891845703125,1
-0.08184814453125,1
-0.094024658203125,1
-0.1118316650390625,1
-0.1308746337890625,1
-0.1548614501953125,1
-0.1897430419921875,1
-0.2399139404296875,1
-0.29132080078125,1
-0.3398895263671875,1
-0.3948211669921875,1
-0.4603729248046875,1
-0.52532958984375,1
-0.5776519775390625,1
-0.5955047607421875,1
-0.5999908447265625,1
-0.57989501953125,1
-0.523223876953125,1
-0.4327239990234375,1
-0.3135223388671875,1
-0.1663055419921875,1
0.0075531005859375,1
0.2160186767578125,1
0.4381256103515625,1
0.6594085693359375,1
0.8968048095703125,1
1.1236724853515625,1
1.3409271240234375,1
1.455780029296875,1
1.4991302490234375,1
1.4991302490234375,1
1.4991302490234375,1
1.4991302490234375,1
1.4991302490234375,1
1.4992218017578125,1
1.49908447265625,1
1.4992218017578125,1
1.4901580810546875,1
1.4831085205078125,1
1.4765167236328125,1
1.4700164794921875,1
1.4632415771484375,1
1.4565582275390625,1
1.4497833251953125,1
1.26287841796875,1
0.76812744140625,1
0.3164520263671875,1
-0.025360107421875,1
-0.2422943115234375,1
-0.3417205810546875,1
-0.3750457763671875,1
-0.3815460205078125,1
-0.3712921142578125,1
-0.3588409423828125,1
-0.3490447998046875,1
-0.3381500244140625,1
-0.3395233154296875,1
-0.3434600830078125,1
-0.3516082763671875,1
-0.3690948486328125,1
-0.3813629150390625,1
-0.3923492431640625,1
-0.4016876220703125,1
-0.4150543212890625,1
-0.4345550537109375,1
-0.4501190185546875,1
-0.4570770263671875,1
-0.4626617431640625,1
-0.47222900390625,1
-0.4799652099609375,1
-0.4790496826171875,1
-0.4795074462890625,1
-0.4776763916015625,1
-0.471771240234375,1
-0.4680633544921875,1
-0.4684295654296875,1
-0.470306396484375,1
-0.4604644775390625,1
-0.4530487060546875,1
-0.4472808837890625,1
-0.441192626953125,1
-0.4392242431640625,1
-0.4379425048828125,1
-0.433868408203125,1
-0.4329071044921875,1
-0.4335479736328125,1
-0.4282379150390625,1
-0.42608642578125,1
-0.4091949462890625,1
-0.4017791748046875,1
-0.4009552001953125,1
-0.3934478759765625,1
-0.386077880859375,1
-0.3802642822265625,1
-0.3735809326171875,1
-0.3692779541015625,1
-0.3653411865234375,1
-0.3588409423828125,1
-0.3469390869140625,1
-0.3339385986328125,1
-0.3246917724609375,1
-0.3235931396484375,1
-0.3223114013671875,1
-0.3211212158203125,1
-0.317413330078125,1
-0.3108673095703125,1
-0.3074798583984375,1
-0.312103271484375,1
-0.3124237060546875,1
-0.311004638671875,1
-0.3079376220703125,1
-0.3044586181640625,1
-0.3058319091796875,1
-0.3043212890625,1
-0.3018035888671875,1
-0.3070220947265625,1
-0.31329345703125,1
-0.3138885498046875,1
-0.3094024658203125,1
-0.3042755126953125,1
-0.3033599853515625,1
-0.2998809814453125,1
-0.29296875,1
-0.2913665771484375,1
-0.2930145263671875,1
-0.2909088134765625,1
-0.2931976318359375,1
-0.3003387451171875,1
-0.3129730224609375,1
-0.3273468017578125,1
-0.339569091796875,1
-0.3399810791015625,1
-0.3381500244140625,1
-0.3445587158203125,1
-0.3471221923828125,1
-0.33966064453125,1
-0.3306884765625,1
-0.3207550048828125,1
-0.3121490478515625,1
-0.2954864501953125,1
-0.2805633544921875,1
-0.2750701904296875,1
-0.2695770263671875,1
-0.263397216796875,1
-0.2629852294921875,1
-0.2640838623046875,1
-0.2596893310546875,1
-0.2541961669921875,1
-0.2512664794921875,1
-0.2475128173828125,1
-0.241241455078125,1
-0.2283782958984375,1
-0.2194976806640625,1
-0.2043914794921875,1
-0.1883697509765625,1
-0.1717529296875,1
-0.1538543701171875,1
-0.1381072998046875,1
